88,89394018		Столбец1						
89,82226103							Карман	Частота
83,44329217		Среднее	99,97671889				44,12758902	1
95,37511248		Стандартная ошибка	0,150005915				45,22110677	1
97,35186655		Медиана	99,99047759				46,31462453	0
102,4336134		Мода	#Н/Д				47,40814228	0
93,62080924		Стандартное отклонение	15,00059152				48,50166004	0
108,4328703		Дисперсия выборки	225,0177459				49,59517779	0
95,94677006		Эксцесс	-0,139650699				50,68869555	1
105,1438539		Асимметричность	-0,014912029				51,7822133	1
91,17958256		Интервал	108,2582578				52,87573106	1
106,7565017		Минимум	44,12758902				53,96924881	1
120,8013894		Максимум	152,3858468				55,06276657	4
100,1968736		Сумма	999767,1889				56,15628432	2
100,4382365		Счет	10000				57,24980208	6
93,25495834							58,34331983	4
117,9985111							59,43683759	6
106,9419245							60,53035534	8
96,38373914							61,6238731	8
106,915138							62,71739085	8
96,74050847							63,81090861	15
110,6494225							64,90442637	19
68,54277507							65,99794412	21
96,66298641							67,09146188	36
132,5922184							68,18497963	31
128,5292052							69,27849739	32
87,88272271							70,37201514	34
111,1781593							71,4655329	43
104,6853036							72,55905065	47
112,4689615							73,65256841	65
123,0408993							74,74608616	71
75,25629618							75,83960392	88
75,40518509							76,93312167	100
123,5902624							78,02663943	84
110,3092494							79,12015718	110
80,47098441							80,21367494	114
90,02914895							81,30719269	136
96,95855584							82,40071045	136
103,7296196							83,4942282	149
91,3214956							84,58774596	137
117,8819023							85,68126371	174
102,5631624							86,77478147	189
113,1716203							87,86829922	199
102,7612697							88,96181698	229
94,80846337							90,05533473	279
106,6171023							91,14885249	249
119,2924823							92,24237025	247
99,83395137							93,335888	247
97,13438548							94,42940576	264
125,9412201							95,52292351	289
104,5537341							96,61644127	278
93,73119682							97,70995902	277
109,2127609							98,80347678	280
94,32971739							99,89699453	260
109,9123737							100,9905123	277
107,0293164							102,08403	259
108,2315447							103,1775478	281
97,48764751							104,2710656	299
79,73190398							105,3645833	273
106,7578125							106,4581011	259
106,7379504							107,5516188	252
107,243845							108,6451366	252
109,8512889							109,7386543	233
93,10068724							110,8321721	226
97,45548621							111,9256898	223
113,0754741							113,0192076	193
93,87230581							114,1127253	201
134,1335065							115,2062431	206
112,0056743							116,2997609	169
104,9542009							117,3932786	169
67,71082556							118,4867964	147
100,9204701							119,5803141	140
107,3271447							120,6738319	111
96,95053484							121,7673496	116
83,66360891							122,8608674	101
101,2365112							123,9543851	87
110,6577516							125,0479029	85
74,43240109							126,1414207	68
90,85372343							127,2349384	63
71,52389033							128,3284562	51
116,5068007							129,4219739	46
91,11270533							130,5154917	39
60,07407708							131,6090094	36
73,46181043							132,7025272	28
134,379936							133,7960449	23
99,01699044							134,8895627	16
105,0440379							135,9830805	18
107,5295122							137,0765982	14
124,6535986							138,170116	13
104,3896618							139,2636337	10
96,22055627							140,3571515	8
105,7485669							141,4506692	4
90,4696643							142,544187	1
111,2078164							143,6377047	8
115,7289173							144,7312225	4
114,1314592							145,8247402	1
101,4229675							146,918258	1
111,9391787							148,0117758	2
73,98052707							149,1052935	1
73,50834576							150,1988113	3
93,52409053							151,292329	0
108,4363247							Еще	1
90,64854376								
114,4811092								
119,0720071								
117,6624837								
93,54519322								
128,7651023								
78,65783461								
102,7323274								
96,23073072								
114,5094353								
103,1580523								
110,7927604								
78,76146009								
124,9509619								
112,3086662								
106,6756399								
89,2863173								
128,0670616								
92,76219727								
111,9706113								
99,45214767								
96,08085038								
103,4686308								
120,544078								
112,6663644								
111,0477763								
106,5934597								
81,64811342								
92,38341136								
53,7552752								
88,21895025								
77,62032642								
81,60526161								
88,45637093								
89,44402154								
82,15138727								
93,99158874								
76,02200675								
94,55731498								
102,7181814								
103,6218151								
132,046227								
74,65275029								
152,3858468								
101,2346839								
119,4330749								
76,73761651								
121,2093129								
90,67535284								
132,0460107								
75,97774474								
99,17653917								
98,71600201								
110,5742376								
93,2441373								
71,65998203								
92,90574534								
81,30184016								
92,44346072								
113,8232823								
106,2774199								
105,0689046								
90,70016268								
144,4665185								
93,8043842								
101,8448174								
100,5049256								
106,8151583								
109,2754294								
109,5073378								
105,5207282								
118,3851747								
96,07386609								
125,2559731								
123,3875826								
101,2376469								
87,75778199								
100,0332289								
90,32923049								
105,0436911								
83,61120264								
88,21686341								
100,3085603								
81,41957738								
98,19890925								
115,6873132								
87,13450222								
135,9806232								
116,4687016								
114,3104899								
90,36052745								
115,2764816								
108,5506827								
122,8090023								
70,42972897								
96,05407401								
106,2374517								
80,62272072								
111,9123637								
69,9008874								
115,2183212								
95,74284964								
104,2884236								
83,49644242								
88,16944238								
97,7410351								
100,1848223								
113,6463553								
81,14599518								
113,4798379								
110,6362453								
104,986455								
128,1366714								
99,50407061								
109,4426912								
110,057324								
120,303725								
119,6746698								
105,2301575								
94,06295931								
123,2958342								
110,3076369								
114,566009								
102,3341682								
86,56951972								
94,66631067								
95,07593504								
106,3153258								
115,4975284								
79,54305399								
105,4721493								
110,855733								
98,37373745								
103,8056218								
77,40441205								
98,76362365								
123,9906641								
81,80010829								
92,09468432								
101,1784378								
69,042033								
88,08084491								
74,28361832								
109,4518946								
96,95639922								
88,93816515								
85,44472478								
87,66218339								
113,5762021								
96,48012337								
117,519417								
111,5289013								
85,80122058								
89,58396876								
110,731567								
102,7847265								
121,6927506								
104,1697263								
112,208228								
108,0847685								
100,5070547								
108,1694315								
96,03792418								
82,8583203								
99,81524855								
115,7162564								
112,1020781								
102,5107751								
103,5021561								
113,1778669								
99,87179579								
87,19998466								
108,2508979								
124,4032292								
112,9754989								
81,57409977								
89,98387323								
99,2866419								
87,88206202								
107,7944491								
100,2813314								
122,7346744								
102,1895682								
104,7765096								
103,2402852								
90,63061252								
101,7917748								
98,24004869								
85,20429111								
100,5570171								
104,2657839								
104,6893194								
99,68134415								
100,9253096								
80,25288346								
122,2867916								
104,2954698								
104,2938608								
95,79889933								
116,4085738								
121,0560071								
98,7888069								
60,73820611								
113,2598069								
105,7284479								
109,9769104								
87,16841999								
86,75771137								
92,25795937								
118,6251507								
81,57782715								
65,45374367								
102,7719848								
92,51571865								
104,8560318								
94,91469569								
123,6405886								
85,91555783								
102,8469028								
117,1302994								
109,4144314								
121,5325082								
65,171711								
123,8522091								
121,1346589								
91,86885075								
115,0535382								
129,8386231								
93,59257466								
136,2680429								
106,129237								
90,29381968								
89,80260854								
116,0232496								
111,239068								
74,5560589								
88,03994628								
105,144289								
116,0696542								
109,1947128								
95,30492125								
73,42148069								
105,0927521								
97,18883356								
94,24095624								
106,2764548								
99,82030203								
93,76273678								
102,6204255								
98,5525635								
118,2476131								
111,5444931								
102,1112121								
99,96401703								
106,0551061								
105,8544488								
89,67148742								
101,7260922								
89,79535226								
113,5272123								
110,815104								
107,8003116								
105,1511274								
78,40715737								
89,46661077								
95,23134089								
89,63282719								
77,40479567								
103,6827532								
78,1302944								
83,41661165								
97,60769711								
100,0633071								
101,430522								
96,55233628								
100,5546311								
86,61186215								
88,91454934								
128,3770409								
97,24750913								
89,93758151								
136,282347								
84,87549272								
105,648444								
89,95883965								
90,24266462								
88,75747736								
111,9242207								
84,51540481								
103,2939822								
93,61009353								
106,8183294								
105,8109228								
130,167562								
82,26997874								
86,55484766								
104,9832144								
111,5250924								
99,26234226								
108,8430492								
84,05628675								
135,174583								
75,9984725								
85,23188812								
102,460631								
98,12649704								
96,75302688								
89,96803604								
112,2750748								
95,55378866								
101,6832768								
84,19433041								
82,52242117								
75,97379726								
92,52171283								
101,2677507								
123,955664								
93,84079861								
89,84058516								
111,0288845								
69,90085165								
108,2829712								
79,79413948								
83,66906209								
113,0003845								
103,9068169								
85,29886556								
112,8105046								
113,0245578								
73,28568481								
91,0711882								
91,85377029								
128,5089245								
96,43647656								
111,3461564								
94,49620807								
100,0293338								
115,1466036								
95,77059853								
87,1069084								
118,4023897								
100,1166356								
81,52554772								
108,189281								
123,6058635								
111,061502								
95,44177041								
68,70707007								
102,1304097								
101,9036697								
117,6787262								
114,0954262								
86,73386774								
121,440337								
71,21422681								
80,51766629								
97,44092072								
97,36153917								
101,4755115								
97,74709369								
118,4227809								
98,44716047								
110,4103454								
88,08889322								
103,4388483								
92,25494064								
121,6817003								
91,44636484								
94,88735378								
103,6800305								
111,6877209								
113,3203573								
87,39901549								
107,6969194								
72,03177303								
79,38874899								
87,51266698								
90,33266995								
